Offset: 0x6440, Avg Latency: 89 ns
Offset: 0x6480, Avg Latency: 90 ns
Offset: 0x64c0, Avg Latency: 115 ns
Offset: 0x6500, Avg Latency: 190 ns
Offset: 0x6540, Avg Latency: 105 ns
Offset: 0x6580, Avg Latency: 194 ns
Offset: 0x65c0, Avg Latency: 110 ns
Offset: 0x6600, Avg Latency: 116 ns
Offset: 0x6640, Avg Latency: 103 ns
Offset: 0x6680, Avg Latency: 105 ns
Offset: 0x66c0, Avg Latency: 113 ns
Offset: 0x6700, Avg Latency: 103 ns
Offset: 0x6740, Avg Latency: 151 ns
Offset: 0x6780, Avg Latency: 102 ns
Offset: 0x67c0, Avg Latency: 103 ns
Offset: 0x6800, Avg Latency: 93 ns
Offset: 0x6840, Avg Latency: 117 ns
Offset: 0x6880, Avg Latency: 117 ns
Offset: 0x68c0, Avg Latency: 169 ns
Offset: 0x6900, Avg Latency: 94 ns
Offset: 0x6940, Avg Latency: 90 ns
Offset: 0x6980, Avg Latency: 91 ns
Offset: 0x69c0, Avg Latency: 92 ns
Offset: 0x6a00, Avg Latency: 90 ns
Offset: 0x6a40, Avg Latency: 183 ns
Offset: 0x6a80, Avg Latency: 252 ns
Offset: 0x6ac0, Avg Latency: 89 ns
Offset: 0x6b00, Avg Latency: 104 ns
Offset: 0x6b40, Avg Latency: 120 ns
Offset: 0x6b80, Avg Latency: 102 ns
Offset: 0x6bc0, Avg Latency: 103 ns
Offset: 0x6c00, Avg Latency: 109 ns
Offset: 0x6c40, Avg Latency: 108 ns
Offset: 0x6c80, Avg Latency: 117 ns
Offset: 0x6cc0, Avg Latency: 103 ns
Offset: 0x6d00, Avg Latency: 104 ns
Offset: 0x6d40, Avg Latency: 104 ns
Offset: 0x6d80, Avg Latency: 103 ns
Offset: 0x6dc0, Avg Latency: 103 ns
Offset: 0x6e00, Avg Latency: 103 ns
Offset: 0x6e40, Avg Latency: 244 ns
Offset: 0x6e80, Avg Latency: 125 ns
Offset: 0x6ec0, Avg Latency: 101 ns
Offset: 0x6f00, Avg Latency: 107 ns
Offset: 0x6f40, Avg Latency: 259 ns
Offset: 0x6f80, Avg Latency: 106 ns
Offset: 0x6fc0, Avg Latency: 161 ns
Offset: 0x7000, Avg Latency: 102 ns
Offset: 0x7040, Avg Latency: 104 ns
Offset: 0x7080, Avg Latency: 113 ns
Offset: 0x70c0, Avg Latency: 103 ns
Offset: 0x7100, Avg Latency: 104 ns
Offset: 0x7140, Avg Latency: 112 ns
Offset: 0x7180, Avg Latency: 117 ns
Offset: 0x71c0, Avg Latency: 103 ns
Offset: 0x7200, Avg Latency: 122 ns
Offset: 0x7240, Avg Latency: 114 ns
Offset: 0x7280, Avg Latency: 117 ns
